Data Source in SDW: http://sdw/quickview.do?SERIES_KEY=6.BISM.D.QKBA.US.02
,BISM.D.QKBA.US.02
,"United States - EXCH.RATE: US DOLLARS/1 EUR,SPOT AT 2:15 PM (CET)D& W,M,Q,A-AVG - NATIONAL CURRENCY EQUIVALENTS OF EURO (ECB REFERENCE RATE)"
Collection:,Middle of period (M)
Period\Unit:,[US dollar ]
2017-09-12,1.193300000
2017-09-11,1.199700000
2017-09-08,1.206000000
2017-09-07,1.197100000
2017-09-06,1.193100000
2017-09-05,1.189000000
2017-09-04,1.190500000
2017-09-01,1.192000000
2017-08-31,1.182500000
2017-08-30,1.191600000
2017-08-29,1.204800000
2017-08-28,1.192500000
2017-08-25,1.180800000
2017-08-24,1.180600000
2017-08-23,1.179900000
2017-08-22,1.177100000
2017-08-21,1.176100000
2017-08-18,1.174000000
2017-08-17,1.169700000
2017-08-16,1.171000000
2017-08-15,1.174400000
2017-08-14,1.179700000
2017-08-11,1.176500000
2017-08-10,1.173200000
2017-08-09,1.173100000
2017-08-08,1.181400000
2017-08-07,1.179700000
2017-08-04,1.186800000
2017-08-03,1.186000000
2017-08-02,1.182900000
2017-08-01,1.181200000
2017-07-31,1.172700000
2017-07-28,1.172900000
2017-07-27,1.169400000
2017-07-26,1.164400000
2017-07-25,1.169400000
2017-07-24,1.164800000
2017-07-21,1.164200000
2017-07-20,1.148500000
2017-07-19,1.153300000
2017-07-18,1.155500000
2017-07-17,1.146200000
2017-07-14,1.141500000
2017-07-13,1.141700000
2017-07-12,1.144900000
2017-07-11,1.140500000
2017-07-10,1.138700000
2017-07-07,1.141200000
2017-07-06,1.138500000
2017-07-05,1.132900000
2017-07-04,1.135300000
2017-07-03,1.136900000
2017-06-30,1.141200000
2017-06-29,1.141300000
2017-06-28,1.137500000
2017-06-27,1.127800000
2017-06-26,1.118700000
2017-06-23,1.117300000
2017-06-22,1.116900000
2017-06-21,1.114700000
2017-06-20,1.115600000
2017-06-19,1.119900000
2017-06-16,1.116700000
2017-06-15,1.116600000
2017-06-14,1.120300000
2017-06-13,1.121700000
2017-06-12,1.122100000
2017-06-09,1.117600000
2017-06-08,1.122900000
2017-06-07,1.121700000
2017-06-06,1.125800000
2017-06-05,1.124900000
2017-06-02,1.121700000
2017-06-01,1.121900000
2017-05-31,1.122100000
2017-05-30,1.117300000
2017-05-29,1.118800000
2017-05-26,1.119600000
2017-05-25,1.121400000
2017-05-24,1.119300000
2017-05-23,1.121500000
2017-05-22,1.124300000
2017-05-19,1.117900000
2017-05-18,1.112900000
2017-05-17,1.111700000
2017-05-16,1.105900000
2017-05-15,1.097200000
2017-05-12,1.087600000
2017-05-11,1.086000000
2017-05-10,1.088200000
2017-05-09,1.088800000
2017-05-08,1.093800000
2017-05-05,1.096100000
2017-05-04,1.092700000
2017-05-03,1.091900000
2017-05-02,1.091500000
2017-04-28,1.093000000
2017-04-27,1.088100000
2017-04-26,1.089300000
2017-04-25,1.089100000
2017-04-24,1.084800000
2017-04-21,1.069800000
2017-04-20,1.074500000
2017-04-19,1.072500000
2017-04-18,1.068200000
2017-04-13,1.063000000
2017-04-12,1.060500000
2017-04-11,1.061600000
2017-04-10,1.057800000
2017-04-07,1.063000000
2017-04-06,1.066600000
2017-04-05,1.067800000
