date,release_type,spx,vix,edcm1,edcm2,edcm3,edcm4,ffc1,ffc2,ffc3,ffc4,ffc5,fvc1,fvc2,fvc3,tuc1,tuc2,tuc3,tyc1,tyc2,tyc3,usc1,usc2,usc3,duration_10y,duration_2y,duration_5y,duration_30y,duration_3y,duration_7y,tyc1_yield,tyc2_yield,tuc1_yield,tuc2_yield,fvc1_yield,fvc2_yield,usc1_yield,usc2_yield,mpc1
30oct2019,Press Conference,.3204969844297253,-3.969171483622355,.0049999999999955,-.0049999999999955,-.0150000000000006,-.0300000000000011,.0024999999999977,0,.0024999999999977,.0049999999999955,0,-.140625,-.1484375,,-.046875,-.072265625,,-.2109375,-.203125,,-.4375,-.4375,,9.055999999999999,1.894,4.752,21.746,2.817,6.56,-.0321551067073171,-.0309641768292683,-.0247492080253432,-.0381550290390708,-.029592803030303,-.0312368476430976,-.0483105123674912,-.0483105123674912,0
11dec2019,Press Conference,.0568745748346833,-.6508298080051929,.0024999999999977,-.0049999999999955,-.0050000000000097,-.0150000000000006,-.0024999999999977,-.0049999999999955,0,-.0049999999999955,0,-.1171875,-.09375,,-.01171875,-.02734375,,-.109375,-.09375,,-.0625,-.0625,,9.140000000000001,1.861,4.719,21.708,2.791,6.527,-.0167573157652827,-.0143634135130994,-.0062970177324019,-.0146930413756045,-.0248331214240305,-.0198664971392244,-.0068380743982495,-.0068380743982495,-.0038749999
29jan2020,Press Conference,-.3694382896724506,4.817708333333346,-.0050000000000097,-.0100000000000051,-.0200000000000102,-.019999999999996,.0024999999999977,0,.0024999999999977,0,-.0100000000000051,-.12109375,-.125,,-.04296875,-.08203125,,-.1640625,-.171875,,-.28125,-.5625,,9.015000000000001,1.892,4.728,21.746,2.902,6.539,-.0250898455421318,-.0262846000917572,-.0227107558139535,-.0433568974630021,-.0256120452622673,-.0264382402707276,-.031198003327787,-.062396006655574,0
03mar2020,Press Conference,-1.105712171577254,5.505011565150337,-.03125,-.0074999999999932,-.022500000000008,-.0300000000000011,-.0474999999999994,-.0800000000000125,-.0499999999999972,-.0374999999999943,-.0300000000000011,-.30859375,-.296875,,-.099609375,-.08203125,,-.578125,-.5234375,,-1.28125,-1.265625,-2.59375,9.292,1.888,4.76,23.005,2.81,6.587,-.0877675724912707,-.0794652345529072,-.0527592028601695,-.0434487552966102,-.0648306197478992,-.0623686974789916,-.1378874300473526,-.1362058760223848,-.052589286
29apr2020,Press Conference,.4433475722334747,-.2530444409299442,.0099999999999909,.0100000000000051,.0049999999999955,.0024999999999977,.0024999999999977,-.0024999999999977,0,-.0049999999999955,-.0100000000000051,-.04296875,.0703125,,-.001953125,-.0078125,,-.109375,-.1015625,,-.0625,.65625,,9.15,1.912,4.855,23.207,2.947,6.78,-.016132005899705,-.0149797197640118,-.0010215088912134,-.0040860355648536,-.008850411946447,.0144824922760041,-.0068306010928962,.0717213114754098,-.0024999999
10jun2020,Press Conference,-.5860455288392998,2.009859689040581,-.0025000000000119,-.0049999999999955,-.0050000000000097,-.0050000000000097,-.0049999999999955,-.0050000000000097,0,0,.0024999999999977,-.140625,-.140625,,,-.009765625,,-.515625,-.3203125,,-.796875,-.796875,,9.637,1.885,4.839,24.832,2.922,6.776,-.0760957792207792,-.0472716204250295,,-.0051807029177719,-.0290607563546187,-.0290607563546187,-.0826891148697727,-.0826891148697727,-.0074999998
29jul2020,Press Conference,.2059467706807997,-.9287925696594486,.0049999999999955,-.0049999999999955,-.0049999999999955,0,0,.0049999999999955,.0050000000000097,0,0,-.02734375,-.0390625,,0,,,-.09375,-.09375,,-.21875,-.34375,,9.506,1.919,4.888,24.909,2.867,6.796,-.0137948793407887,-.0137948793407887,0,,-.0055940568739771,-.0079915098199673,-.0230117820324006,-.0361613717652009,.0049999999
16sep2020,Press Conference,-.6664327280170765,2.268656716417912,0,.0049999999999955,0,0,0,.0024999999999977,.0024999999999977,-.0050000000000097,-.0049999999999955,,.0234375,,,0,,-.015625,.125,,.046875,.28125,,9.622,1.946,4.838,24.539,2.907,6.773,-.0023069540823859,.0184556326590876,,0,,.0048444605208764,.0048716483059655,.029229889835793,0
05nov2020,Press Conference,-.2889775111847259,.720461095100862,.0049999999999955,0,0,0,.0024999999999977,-.0049999999999955,0,0,.0050000000000097,-.015625,-.046875,,-.00390625,,,-.015625,-.0625,,-.109375,-.34375,,9.483000000000001,1.894,4.861,24.322,2.931,6.812,-.0022937463300059,-.0091749853200235,-.0020624340021119,,-.0032143591853528,-.0096430775560584,-.0115337973215227,-.0362490772962143,.003
16dec2020,Press Conference,.3596630325714348,-3.557651093013281,-.0050000000000097,-.0049999999999955,-.0049999999999955,0,.0024999999999977,.0050000000000097,.0049999999999955,.0049999999999955,0,,-.0703125,,,-.00390625,,.015625,-.171875,,-.625,-.4375,,9.504,1.949,4.901,23.735,2.896,6.812,.0022937463300059,-.0252312096300646,,-.0020042329399692,,-.0143465619261375,-.0657617845117845,-.0460332491582492,.0051666666
27jan2021,Press Conference,-1.009275134134141,16.5634400990975,0,-.0050000000000097,0,0,0,0,0,0,0,.015625,,,.00390625,,,.0546875,.078125,,.140625,.125,,9.387,1.916,4.868,23.517,2.871,6.779,.0080671928012981,.0115245611447116,.0020387526096033,,.0032097370583402,,.0149808245445829,.0133162884840737,0
17mar2021,Press Conference,.0714507141290961,-.3080082135523548,-.0024999999999977,-.0074999999999932,-.0050000000000097,0,0,.0049999999999955,0,-.0049999999999955,-.0024999999999977,-.04296875,-.05078125,,,-.00390625,,.03125,-.1015625,-.328125,-.59375,-.21875,,9.381,1.952,4.899,22.444,2.902,6.707,.004659311167437,-.0151427612941703,,-.0020011526639344,-.0087709226372729,-.0103656358440498,-.0632928259247415,-.0233184095512206,0
28apr2021,Press Conference,.0011939756763319,-2.621934028756695,0,0,0,-.0050000000000097,0,0,0,0,0,-.16015625,-.171875,,-.015625,,,-.28125,-.34375,,-.40625,-.25,,9.266,1.918,4.838,22.466,2.867,6.646,-.042318687932591,-.0517228408065002,-.0081465067778936,,-.033103813559322,-.0355260438197602,-.0438430822361321,-.0269803582991582,0
16jun2021,Press Conference,.316143359447263,-3.841931942919865,0,0,-.0024999999999977,0,0,0,.0049999999999955,0,0,.203125,.1875,,.06640625,.03125,,.3046875,.34375,.984375,.3125,.21875,.71875,9.186,1.951,4.871,21.709,2.899,6.679,.0456187303488546,.0514672855217847,.0340370322911328,.0160174269605331,.0417008827756108,.0384931225621022,.0340191595906815,.023813411713477,0
