year,month,pc1ff1_hf,sp500_hf,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2008,8,-0.03167502,0.10375,-0.03167502,-0,-0.0210748,-0.01060022,-0.02797455,-0.00370047,-0.01279452,-0.0188805,-0.03066433,-0.00101069,-0.0080738,-0.02360122
2008,9,0.10845874,-0.76838,0.10845874,0,0.09301712,0.01544162,0.1077982,0.00066054,0.06801174,0.040447,0.10998892,-0.00153018,0.05077974,0.057679
2008,10,-0.07825937,-1.88032,-0,-0.07825937,0.0557887,-0.13404807,-0.00700081,-0.07125856,0.09355808,-0.17181745,-0.04994988,-0.02830949,0.09969929,-0.17795866
2008,11,-0.09628921,0.18666,-0.09628921,-0,-0.05756718,-0.03872203,-0.08129771,-0.0149915,-0.0313529,-0.06493631,-0.09166164,-0.00462757,-0.01733505,-0.07895416
2008,12,-0.29512511,0.85903,-0.29512511,0,-0.19092632,-0.10419879,-0.25751757,-0.03760754,-0.11290453,-0.18222058,-0.28440786,-0.01071725,-0.06919845,-0.22592666
2009,1,-0.00902375,-0.09395,-0,-0.00902375,0.00023071,-0.00925446,-0.00437901,-0.00464474,0.0035903,-0.01261405,-0.00724376,-0.00177999,0.00461596,-0.01363971
2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,-0.04759654,1.5276,-0.04759654,-0,-0.10091138,0.05331484,-0.08191342,0.03431688,-0.09958261,0.05198607,-0.06264898,0.01505244,-0.08894381,0.04134727
2009,4,0.01820311,0.75174,0,0.01820311,-0.02884621,0.04704932,-0.00751106,0.02571417,-0.04017848,0.05838159,0.00782041,0.0103827,-0.0407944,0.05899751
2009,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6,0.04150755,-0.50384,0.04150755,0,0.04618757,-0.00468002,0.04735333,-0.00584578,0.03831756,0.00318999,0.04462743,-0.00311988,0.03118063,0.01032692
2009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,8,-0.01536866,-0.25911,-0,-0.01536866,0.00539552,-0.02076418,-0.00457704,-0.01079162,0.01192027,-0.02728893,-0.0111399,-0.00422876,0.01341098,-0.02877964
2009,9,-0.09413991,0.63447,-0.09413991,-0,-0.07909794,-0.01504197,-0.09262269,-0.00151722,-0.05713074,-0.03700917,-0.09507584,0.00093593,-0.04225764,-0.05188227
2009,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,11,-0.02142778,0.07677,-0.02142778,-0,-0.01458923,-0.00683855,-0.01911587,-0.00231191,-0.00904107,-0.01238671,-0.0208236,-0.00060418,-0.00583054,-0.01559724
