year,month,pc1eon1_me_njt,stoxx50_me_njt,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2010,2,-0.00493536,-0.95750631,-0,-0.00493536,0.0264741,-0.03140946,0.01470991,-0.01964527,0.02495979,-0.02989515,0.003328,-0.00826336,0.01770191,-0.02263727
2010,3,-0.01231379,0.30775521,-0.01231379,-0,-0.01545917,0.00314538,-0.0161875,0.00387371,-0.01046295,-0.00185084,-0.0143436,0.00202981,-0.00631578,-0.00599801
2010,4,0.0043003,-0.10028073,0.0043003,0,0.00518126,-0.00088096,0.00551198,-0.00121168,0.00345986,0.00084044,0.00494873,-0.00064843,0.00207094,0.00222936
2010,5,0.00801934,-0.69277171,0.00801934,0,0.02494953,-0.01693019,0.02019805,-0.01217871,0.02009379,-0.01207445,0.01347592,-0.00545658,0.01332972,-0.00531038
2010,6,-0.00329712,0.68781436,-0.00329712,-0,-0.02243858,0.01914146,-0.01620772,0.0129106,-0.01913097,0.01583385,-0.00892479,0.00562767,-0.0130242,0.00972708
2010,7,0.04608401,0.57679091,0,0.04608401,0.00560781,0.0404762,0.0266806,0.01940341,-0.00746618,0.05355019,0.03916426,0.00691975,-0.00872143,0.05480544
2010,8,-0.0098585,-0.60187301,-0,-0.0098585,0.01326309,-0.02312159,0.00367644,-0.01353494,0.01450308,-0.02436158,-0.00435994,-0.00549856,0.01082279,-0.02068129
2010,9,-0.01302859,-0.11866376,-0,-0.01302859,-0.00292754,-0.01010105,-0.00841382,-0.00461477,0.00091313,-0.01394172,-0.01144517,-0.00158342,0.00163446,-0.01466305
2010,10,-0.00122733,0.0691708,-0.00122733,-0,-0.00270444,0.00147711,-0.00236842,0.00114109,-0.0020812,0.00085387,-0.00175293,0.0005256,-0.00135014,0.00012281
2010,11,-0.00802085,-0.12471508,-0,-0.00802085,-0.00024076,-0.00778009,-0.00416664,-0.00385421,0.0019556,-0.00997645,-0.0066122,-0.00140865,0.00197332,-0.00999417
2010,12,-0.02720094,-0.28737538,-0,-0.02720094,-0.0049142,-0.02228674,-0.01678903,-0.01041191,0.00297536,-0.0301763,-0.02356229,-0.00363865,0.00415428,-0.03135522
2011,1,0.03516476,-0.01616467,0.03516476,0,0.01807098,0.01709378,0.02930765,0.00585711,0.00661014,0.02855462,0.03371646,0.0014483,0.00188664,0.03327812
2011,2,-0.03779849,0.15811866,-0.03779849,-0,-0.02367857,-0.01411992,-0.03426297,-0.00353552,-0.01090142,-0.02689707,-0.03742367,-0.00037482,-0.00466262,-0.03313587
2011,3,0.12741799,-0.15745933,0.12741799,0,0.06846839,0.0589496,0.10813438,0.01928361,0.02661879,0.1007992,0.1230006,0.00441739,0.00868731,0.11873068
